OTU_ID,M9,M4,M8,M6,M7,M3,M2,M10,M1,M5,taxonomy
Prevotella_bryantii_AF396925,2,0,0,0,0,0,0,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_bryantii
OTU1103,1,0,0,1,1,2,1,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; OTU1103|NN=Oscillospira[Pseudoflavonifractor]_capillosus_AY136666|D=92.3
Brevibacterium_senegalense_JF824806,0,0,0,0,0,0,1,0,0,0,Actinobacteria; Actinobacteria; Actinomycetales; Brevibacteriaceae; Brevibacterium; Brevibacterium_senegalense
Porphyromonas_gingivalis_AB547660,0,0,0,0,1,0,0,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; Porphyromonas_gingivalis
Bacteroides_fluxus_AB547642,0,1,2,0,0,0,0,1,0,2,Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_fluxus
OTU480,0,588,0,87,186,0,2,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU480|NN=Butyrivibrio_crossotus_FR733670|D=85.8
OTU728,1,0,0,0,2,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; OTU728|NN=Blautia_glucerasea_AB588023|D=96.4
OTU482,0,14,0,3,10,0,3,0,0,0,Firmicutes; Clostridia; Clostridiales; [Mogibacteriaceae]; unclassified; OTU482|NN=Eubacterium_sulci_AJ006963|D=89.4
OTU483,0,13,0,0,1,2,0,0,0,0,Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; OTU483|NN=Lactobacillus_rogosae_GU269544|D=95.9
OTU733,0,0,10,0,0,0,1,11,0,1,Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; unclassified; OTU733|NN=Cronobacter_sakazakii_AY803191|D=95.7
OTU485,68,32,246,55,31,220,65,0,0,1,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; OTU485|NN=Oscillospira[Pseudoflavonifractor]_capillosus_AY136666|D=94.8
Streptococcus_bovis_STRRR16SB,10,0,0,0,5,3,2,0,0,0,Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_bovis
Anoxystipes_oroticum_NR_114392.1,4,6,0,4,8,4,2,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Anoxystipes; Anoxystipes_oroticum
OTU488,3,0,2,11,2,11,5,0,0,1,Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; OTU488|NN=Bacteroides_salyersiae_AB510707|D=96.1
OTU489,38,2,0,0,0,6,1,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; OTU489|NN=Clostridium_symbiosum_CLORR16SAA|D=93.3
Bifidobacterium_thermophilum_AB016246,0,1,3,2,0,0,1,0,0,0,Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium_thermophilum
OTU722,2,45,0,3,12,1,4,0,0,0,Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU722|NN=Oscillibacter_valericigenes_AB238598|D=91.6
OTU332,0,0,0,0,0,0,1,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU332|NN=Soleaferrea_massiliensis_JX101688|D=89.6
OTU333,0,0,0,1,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; OTU333|NN=Faecalibacterium_prausnitzii_X85022|D=88.3
Moryella_indoligenes_AF527773,16,0,0,1,1,0,2,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Moryella; Moryella_indoligenes
Negativicoccus_succinicivorans_HQ264056.1,0,0,0,0,0,0,0,0,0,4,Firmicutes; Clostridia; Clostridiales; Veillonellaceae; Dialister; Negativicoccus_succinicivorans
OTU1583,0,0,0,0,0,19,7,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1583|NN=Soleaferrea_massiliensis_JX101688|D=86
Prevotella_timonensis_AB547706,1,0,0,2,4,5,0,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_timonensis
Clostridium_saccharoperbutylacetonicum_FR872745,0,0,0,0,0,0,0,0,1,0,Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_saccharoperbutylacetonicum
Prevotella_albensis_AJ011683,2,0,0,0,1,2,0,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_albensis
Atopobium_parvulum_AB558168,0,0,0,0,0,0,1,0,1,0,Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Atopobium; Atopobium_parvulum
Clostridium_felsineum_X77851,2,0,0,0,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_felsineum
Lactobacillus_ultunensis_AY253660,1,1,0,0,0,0,0,0,0,0,Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; Lactobacillus_ultunensis
Blastococcus_massiliensis_JX101684,0,0,0,1,0,0,0,0,0,0,Actinobacteria; Actinobacteria; Actinomycetales; Geodermatophilaceae; Blastococcus; Blastococcus_massiliensis
Parabacteroides_goldsteinii_AB547650,1,0,0,0,1,1,0,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Parabacteroides; Parabacteroides_goldsteinii
Anaerostipes_rhamnosus,11,2,0,1,3,4,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Anaerostipes; Anaerostipes_rhamnosus
OTU1242,0,0,0,2,0,1,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU1242|NN=Eubacterium_cellulosolvens_AY178842|D=93.3
OTU349,1,1,61,0,0,0,0,25,4,0,Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; unclassified; OTU349|NN=Hafnia_alvei_Z83203|D=95.7
OTU348,0,0,0,2,0,0,0,0,1,0,Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Adlercreutzia; OTU348|NN=Adlercreutzia_equolifaciens_AB306660|D=93.4
OTU439,0,0,0,2,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU439|NN=Eubacterium_hallii_EUBRRDR|D=97
OTU438,0,0,0,0,0,0,1,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU438|NN=Blautia_coccoides_EF025906|D=91.5
OTU1230,0,0,0,1,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; unclassified; unclassified; OTU1230|NN=Christensenella_minuta_AB490809|D=83.6
OTU434,0,469,0,0,1,2,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; OTU434|NN=Clostridium_lactatifermentans_AY033434|D=95.2
OTU341,0,26,0,4,0,11,20,0,0,0,Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; OTU341|NN=Clostridium_clariflavum_NR_102987.1|D=85.3
OTU436,0,6,0,4,17,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU436|NN=Intestinimonas_butyriciproducens_JX101685.1|D=92.9
OTU431,2,0,0,0,0,5,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU431|NN=Oscillibacter_valericigenes_AB238598|D=92.2
OTU430,0,0,0,0,0,0,1,0,0,0,Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; OTU430|NN=Bacillus_sonorensis_EF433411.1|D=96.6
OTU433,5,0,0,1,2,0,2,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; unclassified; OTU433|NN=Barnesiella_intestinihominis_AB370251|D=85.1
OTU344,4,0,0,1,1,1,0,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU344|NN=Prevotella_stercorea_AB244774|D=95.4
Ruminococcus_faecis_FJ611794.2,0,3,0,0,1,0,1,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; Ruminococcus_faecis
OTU657,0,0,0,5,1,53,16,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU657|NN=Soleaferrea_massiliensis_JX101688|D=88.5
OTU159,0,0,0,0,0,0,0,0,0,1,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; OTU159|NN=Blautia_wexlerae_EF036467|D=97
Oscillospira[Clostridium]_viride_X81125,2,2,7,8,1,11,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; Oscillospira_viride
OTU653,0,0,0,0,0,0,0,4,0,0,Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Erwinia; OTU653|NN=Citrobacter_gillenii_AF025367|D=96.8
OTU152,0,0,0,1,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU152|NN=Oscillibacter_valericigenes_AB238598|D=94.3
OTU153,5,10,0,17,5,16,30,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; OTU153|NN=Clostridium_aldenense_DQ279736|D=94.6
OTU150,53,1,0,40,19,4,15,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Barnesiella; OTU150|NN=Barnesiella_intestinihominis_AB370251|D=85.8
OTU151,4,2,0,3,7,4,1,0,0,1,Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; unclassified; OTU151|NN=Barnesiella_intestinihominis_AB370251|D=84.2
OTU156,8,1,1,0,0,19,1,0,0,0,Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU156|NN=Oscillibacter_valericigenes_AB238598|D=95.3
OTU662,0,48,0,0,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU662|NN=Papillibacter_cinnamivorans_AF167711|D=90.1
OTU938,0,1,0,0,0,0,0,0,0,0,Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Olsenella; OTU938|NN=Olsenella_profusa_AF292374|D=94.7
Aeromonas_allosaccharophila_NR_025945.2,5,2,0,1,1,1,4,0,0,0,Proteobacteria; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas; Aeromonas_allosaccharophila
Phascolarctobacterium_succinatutens_AB490812,0,0,0,14,125,18,0,0,0,0,Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; Phascolarctobacterium_succinatutens
Clostridium_lactatifermentans_AY033434,9,3,0,1,0,38,8,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Tyzzerella; Tyzzerella_lactatifermentans
Clostridium_disporicum_Y18176,449,14133,1,3509,495,201,9890,1,0,19,Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_disporicum
OTU932,0,1,0,0,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU932|NN=Blautia_wexlerae_EF036467|D=85.3
OTU933,0,0,0,1,0,5,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU933|NN=Intestinimonas_butyriciproducens_JX101685.1|D=87.4
OTU934,128,52,0,8,12,121,22,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; OTU934|NN=Oscillospira[Flavonifractor]_plautii_Y18187|D=94.2
Shigella_sonnei_HQ591457,1,2,25,0,1,0,0,24,13,1,Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Shigella; Shigella_sonnei
OTU665,0,0,0,7,45,0,0,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU665|NN=Prevotella_copri_AB064923|D=96.6
Ureibacillus_thermosphaericus_AB101594,0,0,1,0,0,0,0,0,0,0,Firmicutes; Bacilli; Bacillales; Planococcaceae; Ureibacillus; Ureibacillus_thermosphaericus
Coprobacillus_cateniformis_AB030218,0,374,0,0,0,0,0,0,64,119,Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Coprobacillus; Coprobacillus_cateniformis
OTU666,9,3,0,4,2,10,16,0,0,0,Firmicutes; Clostridia; Clostridiales; Dehalobacteriaceae; Dehalobacterium; OTU666|NN=Desulfitobacterium_frappieri_DFU40078|D=84
OTU1189,0,0,0,1,0,8,67,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1189|NN=Ruminococcus_bromii_DQ882649|D=86.6
OTU1036,126,212,0,50,50,1064,22,0,1,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU1036|NN=Ruminococcus_flavefaciens_AY349157|D=92.7
OTU1187,201,2,0,6,0,55,11,0,0,0,Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; OTU1187|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=90.8
Prevotella_loescheii_AB547688,30,0,1,1,3,1,0,9,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; Prevotella_loescheii
Oxalobacter_formigenes_OFU49754,1,0,0,0,0,0,0,0,0,0,Proteobacteria; Betaproteobacteria; Burkholderiales; Oxalobacteraceae; Oxalobacter; Oxalobacter_formigenes
Clostridium_tertium_JX267105,0,2,0,0,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; Clostridium_tertium
Collinsella_tanakaei_AB490807,0,0,0,0,2,0,0,0,0,0,Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Collinsella; Collinsella_tanakaei
OTU236,0,3,0,30,111,1,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Dorea; OTU236|NN=Ruminococcus_gnavus_JN713312|D=93.4
OTU1343,0,0,0,0,0,0,1,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU1343|NN=Eubacterium_rectale_AY804151|D=90.8
Butyricimonas_synergistica_AB443948,11,0,0,1,1,24,0,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Porphyromonadaceae; Butyricimonas; Butyricimonas_synergistica
OTU231,4,0,0,2,2,17,13,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; OTU231|NN=Oscillospira[Flavonifractor]_plautii_Y18187|D=95.3
OTU230,71,0,0,21,18,51,2,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; unclassified; OTU230|NN=Paraprevotella_clara_AB331896|D=87.1
OTU1060,3,0,0,1,1,11,41,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Coprococcus; OTU1060|NN=Coprococcus[Bacteroides]_galacturonicus_DQ497994|D=92
OTU1062,0,3,0,1,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1062|NN=Oscillibacter_valericigenes_AB238598|D=88.7
OTU1063,2,8,0,1,0,4,3,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; OTU1063|NN=Clostridium_methoxybenzovorans_AF067965|D=95.1
Kytococcus_schroeteri_AJ297722,0,1,0,0,0,0,0,0,0,0,Actinobacteria; Actinobacteria; Actinomycetales; Dermacoccaceae; Kytococcus; Kytococcus_schroeteri
OTU239,212,129,0,58,376,505,25,0,230,212,Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Adlercreutzia; OTU239|NN=Adlercreutzia_equolifaciens_AB306660|D=95
Clostridium_ramosum_AB627078.1,7,116,3,1,14,3,2,0,6677,8353,Firmicutes; Erysipelotrichia; Erysipelotrichales; Erysipelotrichaceae; Erysipelatoclostridium; Erysipelatoclostridium_ramosum
Oribacterium_sinus_FJ577261,16,0,0,1,1,13,10,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Oribacterium; Oribacterium_sinus
OTU1138,0,0,2,0,0,0,0,0,0,0,Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Erwinia; OTU1138|NN=Enterobacter_cancerogenus_JN644583|D=94.9
OTU3,1,0,0,25,212,48,0,0,0,0,Firmicutes; Negativicutes; Selenomonadales; Acidaminococcaceae; Phascolarctobacterium; OTU3|NN=Phascolarctobacterium_succinatutens_AB490812|D=95.6
Leuconostoc_gelidum_KF577567,0,0,0,0,0,0,0,0,2,0,Firmicutes; Bacilli; Lactobacillales; Leuconostocaceae; Leuconostoc; Leuconostoc_gelidum
Clostridium_herbivorans_CLORRDAA,25,2,0,1,11,16,6,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; Lachnoclostridium_herbivorans
Bacteroides_graminisolvens_AB547643,0,0,1,0,0,1,0,0,1,1,Bacteroidetes; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides; Bacteroides_graminisolvens
OTU158,0,0,0,0,0,0,0,1,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Cellulosilyticum; OTU158|NN=Cellulosilyticum_lentocellum_X71851|D=92.2
Anaerostipes_caccae_AB243986,20,10,0,1,2,16,3,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Anaerostipes; Anaerostipes_caccae
OTU804,0,0,0,1,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU804|NN=Oscillibacter_valericigenes_AB238598|D=89.7
OTU60,0,0,0,0,2,1,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Ruminococcus; OTU60|NN=Ruminococcus_bromii_DQ882649|D=89.6
Enterobacter_asburiae_HQ455823,0,3,460,0,0,0,0,1302,0,5,Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; Enterobacter; Enterobacter_asburiae
OTU807,0,0,0,1,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Candidatus Soleaferrea; OTU807|NN=Soleaferrea_massiliensis_JX101688|D=86.9
OTU65,0,0,0,1,3,0,0,0,1,1,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Faecalibacterium; OTU65|NN=Faecalibacterium_prausnitzii_X85022|D=91.3
OTU64,0,0,58,0,0,0,0,396,0,0,Proteobacteria; Gammaproteobacteria; Enterobacteriales; Enterobacteriaceae; unclassified; OTU64|NN=Hafnia_alvei_Z83203|D=96.3
OTU69,0,0,0,0,0,2,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU69|NN=Oscillibacter_valericigenes_AB238598|D=94.8
OTU1161,0,23,0,53,15,1,5,0,0,0,Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; unclassified; OTU1161|NN=Slackia_exigua_AF101240|D=83.9
Streptococcus_anginosus_AF104678,5,0,0,1,1,0,1,0,0,2,Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus_anginosus
OTU808,3,0,0,0,5,1,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU808|NN=Eubacterium_ramulus_EUBRRDT|D=95.9
Bacillus_marisflavi_AF483624,1,0,0,0,1,0,1,0,0,0,Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; Bacillus_marisflavi
OTU1487,0,0,0,0,0,1,0,0,0,0,Cyanobacteria[Melainabacteria]; [Melainabacteria]; [Melainabacteriales]; [Melainabacteriaceae]; [Melainabacter]; OTU1487|NN=Melainabacter_A1|D=96.1
OTU1701,0,3,0,0,0,2,1,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1701|NN=Papillibacter_cinnamivorans_AF167711|D=89.7
OTU1700,0,0,0,0,0,2,3,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU1700|NN=Clostridium_glycyrrhizinilyticum_AB233029|D=90.6
OTU1702,4,3,61,23,4,28,8,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; unclassified; OTU1702|NN=Intestinimonas_butyriciproducens_JX101685.1|D=92.9
OTU1705,56,0,0,19,0,63,4,0,0,0,Firmicutes; Clostridia; Clostridiales; Eubacteriaceae; Eubacterium; OTU1705|NN=Eubacterium_desmolans_EUBRRDO|D=94.3
OTU1704,39,14,0,34,5,100,7,0,0,0,Firmicutes; Clostridia; Clostridiales; Clostridiaceae; Clostridium; OTU1704|NN=Clostridium_sporosphaeroides_CLORR16SAD|D=91.6
Mycobacterium_abscessus_AY457071,0,0,0,0,0,0,0,3,0,0,Actinobacteria; Actinobacteria; Actinomycetales; Mycobacteriaceae; Mycobacterium; Mycobacterium_abscessus
OTU391,71,26,0,9,5,101,41,0,0,0,Firmicutes; Clostridia; Clostridiales; Ruminococcaceae; Oscillospira; OTU391|NN=Oscillospira[Flavonifractor]_plautii_Y18187|D=93.8
OTU178,13,2,0,5,2,64,10,0,0,0,Firmicutes; Clostridia; Clostridiales; Oscillospiraceae; Oscillibacter; OTU178|NN=Oscillibacter_valericigenes_AB238598|D=92.5
OTU1485,0,0,0,1,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Blautia; OTU1485|NN=Blautia_wexlerae_EF036467|D=94.5
Senegalemassilia_anaerobia_NR_125595.1,0,0,0,0,0,0,1,0,0,0,Actinobacteria; Coriobacteriia; Coriobacteriales; Coriobacteriaceae; Senegalemassilia; Senegalemassilia_anaerobia
Vibrio_fluvialis_X76335,0,0,1,0,0,0,0,2,0,0,Proteobacteria; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Vibrio_fluvialis
OTU1116,1,1,0,0,0,2,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; unclassified; OTU1116|NN=Clostridium_hathewayi_EF408243|D=93.2
OTU1110,0,1,2,0,0,0,0,0,0,0,Firmicutes; Clostridia; Clostridiales; Lachnospiraceae; Lachnoclostridium; OTU1110|NN=Clostridium_bolteae_AJ508452|D=96.8
OTU1111,30,11,0,54,26,8,40,0,14,47,Firmicutes; Clostridia; Clostridiales; Peptostreptococcaceae; Romboutsia; OTU1111|NN=Clostridium_lituseburense_CLORR16SC|D=94.9
OTU1112,0,0,0,1,7,1,1,0,0,0,Bacteroidetes; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella; OTU1112|NN=Prevotella_copri_AB064923|D=94.8
